RPM,SPEED,THROTTLE_POS,MAF,COOLANT_TEMP,INTAKE_TEMP,O2_B1S1,ENGINE_LOAD,INTAKE_PRESSURE,O2_B1S2,SHORT_FUEL_TRIM_1,LONG_FUEL_TRIM_1,segment_id
2143,75,35.29,10.36,96,25,0.695,19.61,75,0.59,0,10.94,6
2341,82,39.22,15.96,96,25,0.695,27.45,86,0.59,3.125,4.688,6
2703,95,60.39,29.59,96,25,0.68,42.75,99,0.635,3.906,-2.344,6
2912,103,42.75,19.25,96,25,0.68,25.88,92,0.635,6.25,-0.7812,6
2948,104,40.78,16.71,96,25,0.68,21.57,91,0.635,-1.562,3.906,6
2960,105,39.22,15.48,96,25,0.675,20,85,0.195,-0.7812,3.906,6
2985,105,35.29,10.91,96,25,0.675,14.12,70,0.195,0.7812,9.375,6
3027,107,35.69,11.31,96,25,0.675,14.12,70,0.195,0.7812,10.16,6
3027,107,37.25,12.91,96,25,0.135,16.08,77,0.15,6.25,5.469,6
2995,106,40.78,17.35,96,25,0.135,21.96,87,0.15,-7.812,4.688,6
2952,104,39.22,15.23,96,25,0.135,19.61,85,0.15,1.562,4.688,6
2969,105,40.78,17.79,96,25,0.14,22.35,90,0.155,-4.688,3.125,6
3038,107,40.78,17.33,96,25,0.14,21.57,88,0.155,-5.469,4.688,6
3045,107,35.29,10.85,96,25,0.14,13.73,65,0.155,-2.344,10.16,6
3077,108,37.25,13.42,97,25,0.73,16.47,78,0.24,-0.7812,5.469,6
3160,112,41.18,18.2,97,25,0.73,21.96,90,0.24,-4.688,5.469,6
3215,113,41.57,18.42,97,25,0.73,21.57,89,0.24,-0.7812,5.469,6
3224,114,41.57,18.6,97,25,0.695,21.57,91,0.195,-4.688,4.688,6
3180,112,38.04,14.47,97,25,0.695,17.25,80,0.195,-4.688,10.16,6
3129,110,36.47,12.45,97,25,0.695,14.9,76,0.195,0,8.594,6
3045,108,35.69,11.45,97,25,0.755,14.12,70,0.2,3.125,9.375,6
2986,106,35.29,10.89,97,25,0.755,13.73,69,0.2,-0.7812,9.375,6
2957,104,39.22,15.33,97,25,0.755,20,85,0.2,-2.344,5.469,6
2954,104,38.82,14.9,97,25,0.51,18.82,84,0.46,-0.7812,5.469,6
2946,104,38.82,14.85,97,25,0.51,19.22,85,0.46,3.906,5.469,6
2856,101,27.45,4.42,97,25,0.51,5.882,25,0.46,-3.125,24.22,6
2724,96,30.98,6.55,97,25,0.22,9.412,48,0.65,1.562,14.84,6
2722,96,39.22,15.84,97,25,0.22,22.75,85,0.65,-2.344,5.469,6
2768,98,38.43,14.58,97,25,0.22,20.39,84,0.65,-2.344,6.25,6
2792,99,38.82,15.03,97,25,0.1,20.78,87,0.63,2.344,6.25,6
2826,100,38.82,14.68,97,25,0.1,20,86,0.63,3.906,1.562,6
2850,101,37.65,13.43,97,25,0.1,18.04,82,0.63,5.469,4.688,6
2837,100,30.98,6.66,96,25,0.1,9.02,44,0.23,2.344,10.16,6
2835,100,37.25,13.06,96,25,0.1,17.65,80,0.23,3.906,7.031,6
2898,102,40.78,17.08,96,25,0.1,22.35,90,0.23,-3.125,6.25,6
2949,104,43.92,20.44,96,25,0.1,26.67,92,0.67,-0.7812,0.7812,6
3018,106,40.39,16.66,96,25,0.1,21.18,89,0.67,-8.594,5.469,6
3019,107,40,16.31,96,25,0.1,20.39,88,0.67,-3.125,3.906,6
3018,107,38.04,13.95,97,25,0.075,17.65,82,0.4,-0.7812,4.688,6
2983,105,29.02,5.05,97,25,0.075,6.275,28,0.4,-6.25,13.28,6
3030,107,41.96,18.6,97,25,0.075,23.53,89,0.4,0.7812,0,6
3064,108,35.29,9.65,97,25,0.32,11.76,74,0.675,-3.125,6.25,6
2960,105,37.25,13.45,97,25,0.32,16.86,80,0.675,-2.344,10.16,6
2892,102,26.67,4.05,97,25,0.32,5.098,26,0.675,-3.125,13.28,6
2843,100,34.51,9.1,97,25,0.065,12.16,63,0.645,-2.344,9.375,6
2790,98,42.35,18.43,97,25,0.065,25.49,90,0.645,-3.906,5.469,6
